VERB,Oco
Referir,3
atrair,3
retomar,3
discursar,3
ignorar,3
forçar,3
explorar,3
trilhar,3
centrar,3
doutorar,3
consumar,3
cooperar,3
orgulhar,3
acelerar,3
emergir,3
classificar,3
impulsionar,3
misturar,3
encher,3
reagir,3
equilibrar,3
rondar,3
inspirar,3
encorajar,3
dotar,3
desejar,3
elogiar,3
situar,3
festejar,3
relatar,3
anteceder,3
materializar,3
implicar,3
otimizar,3
desempenhar,3
constituír,3
restar,3
desencadear,3
derrotar,3
investigar,3
excluir,3
defrontar,3
culminar,3
condenar,3
descobrir,3
conviver,3
pronunciar,3
remontar,3
recompensar,3
bombardear,3
convocar,3
aliviar,3
fugir,3
permanecer,3
reportar,3
impactar,3
retratar,3
despertar,3
licenciar,3
crer,3
diferir,3
editar,3
comprar,3
conhecir,3
seguer,2
avancar,2
diferenciar,2
conseguesr,2
desabafar,2
consigar,2
cansar,2
intervir,2
recriar,2
testar,2
incorporar,2
detetar,2
interagir,2
enriquecer,2
percecionar,2
fragilizar,2
prolongar,2
escutar,2
percebir,2
colorir,2
regular,2
qualificar,2
construír,2
Existir,2
consciencializar,2
trocar,2
defendir,2
piorar,2
prometir,2
culpar,2
valer,2
Aproximar,2
começár,2
cativar,2
Começar,2
agravar,2
congelar,2
descurar,2
confiar,2
Perceber,2
advogar,2
preservar,2
complementar,2
exaltar,2
evidenciar,2
brincar,2
simplificar,2
canalizar,2
incutir,2
cuidar,2
endereçar,2
legitimar,2
deter,2
simbolizar,2
ditar,2
reservar,2
trouxer,2
empobrecer,2
tutelar,2
aliar,2
argumentar,2
desafiar,2
estruturar,2
personalizar,2
alegar,2
aguardar,2
desmistificar,2
potenciar,2
dançar,2
encantar,2
curtir,2
jubilar,2
remunerar,2
rejeitar,2
cobrir,2
almoçar,2
dispensar,2
protegir,2
abolir,2
propuser,2
salvaguardar,2
galardoar,2
selecionar,2
sonhar,2
equipar,2
lecionar,2
elucidar,2
promovir,2
empossar,2
Gualtar,2
parar,2
coordenar,2
querar,2
despoletar,2
divertir,2
depositar,2
requerir,2
apagar,2
carenciar,2
Oferecer,2
angariar,2
oferecir,2
incrementar,2
devolver,2
abrangir,2
proferir,2
frisar,2
edificar,2
replicar,2
fortificar,2
controlar,2
sobrar,2
efetuar,2
vier,2
providenciar,2
acautelar,2
exibir,2
originar,2
equivaler,2
traçar,2
estipular,2
assediar,2
abandonar,2
desfrutar,2
golear,2
recear,2
atravessar,2
equacionar,2
esconder,2
rever,2
programar,2
desvendar,2
agendar,2
semear,2
provocar,2
competer,2
sagrar,2
espalhar,2
descartar,2
digitalizar,2
confeccionar,2
adequar,2
resolvir,2
emitir,2
ressalvar,2
disfarçar,2
proceder,2
bastar,2
acumular,2
reverter,2
reeleger,2
compensar,2
recuar,2
desviar,2
interer,2
arrendar,2
condicionar,2
desfilar,2
entoar,2
privar,2
acentuar,2
gostávar,2
confrontar,2
precisasr,2
expandir,2
consger,2
pisar,2
escrevar,2
ouver,2
guardar,2
imaginar,2
podesr,2
beber,2
alugar,2
impeçer,2
intitular,2
der,2
Tornar,2
refleter,2
segurar,2
desmoralizar,2
apalpar,1
triunfar,1
tentár,1
encaixar,1
tiver,1
acabor,1
preferíar,1
compactar,1
aprendar,1
adquir,1
apreender,1
clarificar,1
imperar,1
imortalizar,1
apertar,1
recrir,1
imitar,1
mapear,1
perturbar,1
caraterizar,1
comecer,1
Aproveitar,1
triplicar,1
encurtar,1
Falar,1
Jacinta Sampaio- querer,1
aprecier,1
relegar,1
planeiar,1
extinguir,1
fundir,1
discordar,1
podir,1
detalhar,1
julgar,1
expectar,1
divulguar,1
lir,1
revir,1
poderíar,1
Aumentar,1
Alargar,1
atender,1
exiger,1
eliminar,1
ansiar,1
inadaptar,1
deveríar,1
debruçar,1
cabecilhar,1
escolhar,1
vigorar,1
preconizar,1
advogarr,1
combatir,1
revigorar,1
requerr,1
requerer,1
gastar,1
atacar,1
consagrar,1
receiar,1
subscrever,1
desmentir,1
prefirer,1
especular,1
chover,1
Dar,1
anexar,1
mencioneer,1
reabilitar,1
comparticipar,1
experienciar,1
desfazer,1
Saber,1
começarer,1
reeleitir,1
albergar,1
Apresentar,1
autonomizar,1
Continuar,1
vivenciar,1
deliberar,1
padecer,1
consumir,1
ocorrir,1
fortalecer,1
guiar,1
falecir,1
Interpretar,1
transgredir,1
desrespeitar,1
conflituar,1
resistir,1
embeber,1
vocalizar,1
difundir,1
desaparecer,1
sobreviver,1
converter,1
abonar,1
bem-intencionar,1
pender,1
vincar,1
proíber,1
abster,1
abdicar,1
conferir,1
manietar,1
convencer,1
glorificar,1
vestir,1
atenuar,1
sufocar,1
compreer,1
solidificar,1
democratizar,1
relembr,1
aludir,1
preveer,1
deveriar,1
indiferenciar,1
emigrar,1
submetir,1
supervisionar,1
deixor,1
interromper,1
erguer,1
redigir,1
Arranjar,1
salvar,1
Ajudar,1
instalar,1
contrastar,1
envelhecer,1
apanhar,1
surpreendir,1
desocupar,1
mover,1
estrear,1
entusiasmar,1
extravasar,1
contagiar,1
apaixonar,1
propagar,1
embalar,1
saltar,1
pular,1
ludibriar,1
cessar,1
paguar,1
dormir,1
blindar,1
ameaçar,1
acatar,1
negociar,1
leva-nor,1
empenhar,1
acertar,1
arrastar,1
taekwor,1
calendarizar,1
projetar,1
afixar,1
imobilizar,1
concedir,1
matricular,1
Motivar,1
facultar,1
descer,1
estacionar,1
Promover,1
Estimular,1
estagnar,1
alastrar,1
explicitar,1
referistir,1
dissestar,1
subdelegar,1
enaltecer,1
eleitar,1
buscar,1
apelidar,1
Inserir,1
enfraquecer,1
ecoar,1
ostentar,1
bordar,1
afinar,1
ultimar,1
Lidar,1
ferir,1
revisitar,1
sintir,1
agilizar,1
volvir,1
tecer,1
desperdiçar,1
ingerir,1
reutilizar,1
Ficar,1
dominar,1
abrer,1
possuar,1
escazrr,1
angar,1
Promovir,1
encaminhar,1
envolvir,1
enlatar,1
assumer,1
contemplar,1
certificar,1
progredir,1
monitorizar,1
reciclar,1
fresar,1
sintetizar,1
cursar,1
figurar,1
reintegrar,1
voluntariar,1
conceber,1
amplificar,1
dissociar,1
denominar,1
reflitir,1
suceder,1
queixar,1
autorizar,1
concorrir,1
amortecer,1
revalidar,1
exercitar,1
simular,1
triparter,1
replantar,1
reproduzir,1
cortar,1
Restar,1
efectuar,1
elencar,1
Faltar,1
oficializar,1
Estar,1
sumir,1
desconhecer,1
infetar,1
apropriar,1
sorrir,1
imacular,1
sugerer,1
sobressair,1
apadrinhar,1
recair,1
diferer,1
ritmar,1
identifiquar,1
mestrar,1
homogeneizar,1
divider,1
elegir,1
polir,1
fornecir,1
haverer,1
inverter,1
calar,1
perdir,1
visualizar,1
cofundar,1
desconhecir,1
remetir,1
insistir,1
provar,1
alongar,1
Ligar,1
circundar,1
favorecer,1
Criar,1
fiquar,1
residir,1
interrompir,1
transbordar,1
escasseiar,1
mobilar,1
decorar,1
reconstituir,1
impossibilitar,1
discuter,1
modifiquar,1
erradicar,1
lépir,1
autorregular,1
incitar,1
redirecionar,1
diversificar,1
sabotar,1
convertir,1
profissionalizar,1
fadar,1
reestruturar,1
cobrar,1
exprimir,1
revertir,1
ajustar,1
Representar,1
sediar,1
reviver,1
suspender,1
transportar,1
acordar,1
Pedir,1
Admitir,1
mantir,1
reabrir,1
assentar,1
interferir,1
reter,1
cumprer,1
esforcar,1
consideror,1
contir,1
degradar,1
impressionar,1
descodificar,1
pensasr,1
adir,1
pretendar,1
sujeitar,1
contornar,1
desistir,1
regularizar,1
zelar,1
válir,1
reconhecir,1
encarregar,1
ultrapar,1
performar,1
falecer,1
testemunhar,1
alegrar,1
Decorrer,1
ampliar,1
Daniela Amorim- pretender,1
convergir,1
cultivar,1
informalizar,1
Tentar,1
libertar,1
fundamentar,1
expuserr,1
arquivar,1
criminalizar,1
reencaminhar,1
solucionar,1
gritar,1
desatualizar,1
Apostar,1
Recordar,1
amontoar,1
sinalizar,1
atrapalhar,1
transitar,1
morrer,1
convivor,1
colidir,1
rotular,1
instituir,1
concernir,1
bater,1
aferir,1
instruír,1
corrigir,1
tender,1
descredibilizar,1
obtiver,1
Lutar,1
Mudar,1
coadjuvar,1
totalizar,1
concorr,1
elegeur,1
vergar,1
parter,1
percar,1
cometer,1
ocultar,1
privilegiar,1
compete-nosr,1
alojar,1
disparar,1
hesitar,1
invistar,1
arrasar,1
sabesr,1
sabeser,1
gravar,1
metar,1
odiar,1
fizer,1
inspir,1
puxar,1
tremer,1
deparar,1
aguentar,1
ficor,1
desejasr,1
desabar,1
location ser,1
providar,1
decidedr,1
admirar,1
morar,1
arrumar,1
alinhar,1
recomendar,1
redefinir,1
evoluirr,1
intensificar,1
arquitetar,1
perpetuar,1
provir,1
parabenizar,1
induzir,1
insurgir,1
aceder,1
sucedir,1
barrar,1
romper,1
nortear,1
conformar,1
reembolsar,1
transparecer,1
protestar,1
transferir,1
empurrar,1
sancionar,1
mergulhar,1
Depender,1
vivir,1
enquadrar,1
continuarr,1
filtrar,1
transcendar,1
perspetivar,1
ponhor,1
subestimar,1
complicar,1
vindar,1
perpassar,1
atingiar,1
direr,1
botar,1
excluír,1
incluír,1
avizinhar,1
calcular,1
acabasr,1
Seguir,1
subísser,1
ponderar,1
façar,1
há-der,1
preenchiar,1
percebesr,1
restaurar,1
enquadr,1
proteger,1
ater,1
Contar,1
virar,1
retir,1
emprestar,1
assister,1
entreter,1
verer,1
